Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
BAD MARIENBERG,,	1892-08-01,,Operational,Operational,Land (fixed),0-20000-0-10526|primary,Europe,,Germany,50.662061,7.960264,546.66,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;SKYRA;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Sky radiation measurements; Total radiation measurements.,Warm Temperate - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of middle altitude,60|1969,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-08-09,Silvia Kothe
BAD SALZUFLEN,,	1931-01-01,,Operational,Operational,Land (fixed),0-20000-0-10325|primary,Europe,,Germany,52.104207,8.752053,134.57,From map,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Snow survey.,Warm Temperate - Fully humid - Warm summer,Mosaic grassland (50-70%) / forest or shrubland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of low altitude,165|2401,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-06-28,Marc Kinkeldey
BAD SALZUNGEN (SECONDARY),,	2004-08-10,,Operational,Unknown,Land (fixed),0-276-3-6272|primary,Europe,,Germany,50.842634,10.251814,283.5,From map,UTC+1,German Meteorological Service,,,,Snow - Fully humid - Warm summer,Closed (>40%) broadleaved deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of middle altitude,,GOS General:Operational,	2024-08-12,Marc Kinkeldey
BADEN-BADEN-GEROLDSAU (SECONDARY),,	1868-11-22,,Operational,Unknown,Land (fixed),0-276-3-257|primary,Europe,,Germany,48.726985,8.245738,240,From map,UTC+1,German Meteorological Service,,,,Warm Temperate - Fully humid - Warm summer,Closed (>40%) broadleaved deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of middle altitude,129|1914,GOS General:Operational,	2024-05-21,Silvia Kothe
BAMBERG,,	1949-01-01,,Operational,Operational,Land (fixed),0-20000-0-10675|primary,Europe,,Germany,49.874252,10.920558,239.96,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;RBCN;SOILTEMP (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,Snow - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within valleys of low altitude,140|1665,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GCW affiliated station:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational",	2024-07-19,Silvia Kothe
BARSINGHAUSEN (SECONDARY),,	1992-02-01,,Operational,Unknown,Land (fixed),0-276-3-294|primary,Europe,,Germany,52.319851,9.42997,109.5,From map,UTC+1,German Meteorological Service,,,,Warm Temperate - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of low altitude,78|2166,GOS General:Operational,	2024-03-08,Silvia Kothe
BARTH,,	1937-01-01,,Operational,Operational,Land (fixed),0-20000-0-10180|primary,Europe,,Germany,54.340527,12.710848,2.67,From map,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);M/B;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Snow survey.,Snow - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within plains of very low altitude,15|454,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-05-31,Silvia Kothe
BARUTH,,	1902-07-01,,Operational,Operational,Land (fixed),0-20000-0-10376|primary,Europe,,Germany,52.061303,13.499731,54.81,From map,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Snow survey.,Snow - Fully humid - Warm summer,"Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)(Surface cover types (GlobCover2009))",,(unknown) at low relative elevation within hollows of very low altitude,5|2251,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-08-02,Silvia Kothe
BASSUM (SECONDARY),,	1975-10-01,,Operational,Silent,Land (fixed),0-276-3-5822|primary,Europe,,Germany,52.86303,8.698853,41.5,From map,UTC+1,German Meteorological Service,,,,Warm Temperate - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of very low altitude,44|1711,GOS General:Operational,	2024-03-08,Silvia Kothe
BELM,,	1994-06-01,,Operational,Operational,Land (fixed),0-20000-0-10312|primary,Europe,,Germany,52.317043,8.16943,103.29,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;SKYRA;SNOW;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Sky radiation measurements; Snow survey; Total radiation measurements.,Snow - Fully humid - Warm summer,Cropland/Natural vegetation mosaic(Surface cover types (IGBP)),,A slope at middle relative elevation within hollows of low altitude,129|2121,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-08-13,Marc Kinkeldey
BERGE (SECONDARY),,	1914-04-01,,Operational,Silent,Land (fixed),0-276-3-5825|primary,Europe,,Germany,52.619829,12.786684,40,From map,UTC+1,German Meteorological Service,,,,Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of very low altitude,19|3548,GOS General:Operational,	2024-06-05,Marc Kinkeldey
BERGEN,,	1960-03-03,,Operational,Operational,Land (fixed),0-20000-0-10238|primary,Europe,,Germany,52.815233,9.924809,70,From map,UTC+1,Geoinformation Service of the German Armed Forces,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;SOILTEMP (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm Temperate - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within plains of very low altitude,15|1099,GOS General:Operational,	2024-03-25,Marc Kinkeldey
"BERGZABERN,BAD (SECONDARY)",,	1926-11-01,,Operational,Unknown,Land (fixed),0-276-3-377|primary,Europe,,Germany,49.107025,7.996749,210,From map,UTC+1,German Meteorological Service,,,,Warm Temperate - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of low altitude,43|1998,GOS General:Operational,	2024-04-08,Silvia Kothe
BERLIN BRANDENBURG,BERLIN-SCHOENEFELD,	1946-12-01,,Operational,Operational,Land (fixed),0-20000-0-10385|primary,Europe,,Germany,52.380702,13.530576,45.59,From map,UTC+1,German Meteorological Service,,,Station running in full automated mode (AUT),Snow - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hollows of very low altitude,434|4409,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-07-29,Marc Kinkeldey
BERLIN-ALEXANDERPLATZ (CITY CLIMATE),,	1969-01-01,,Operational,Unknown,Land (fixed),0-20000-0-10389|primary,Europe,,Germany,52.519785,13.405678,35.8,From map,UTC+1,German Meteorological Service,,ftp://ftp-cdc.dwd.de/pub/CDC/observations_germany/climate_urban/hourly/,"The station was originally registered in WMO Pub 9 Vol A containing these observation remarks: AUT,M/B;SOILTEMP (removed due to construction works around 20110801)",Snow - Fully humid - Warm summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),Chaotic (City centre with high and low-rise buildings),(unknown) at middle relative elevation within rises of very low altitude,652|3790,Non-affiliated:Operational,	2024-02-28,Marc Kinkeldey
