Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
SIBENIK,,	1963-01-01,,Operational,Operational,Land (fixed),0-20000-0-14438|primary,Europe,,Croatia,43.7280555556,15.9063888889,77,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
SISAK,,	1994-01-01,,Operational,Operational,Land (fixed),0-20000-0-14244|primary,Europe,,Croatia,45.4997222222,16.3666666667,98,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
SLAVONSKI BROD,,	1952-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-14370|primary,Europe,,Croatia,45.1591666667,17.9952777778,88,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;PH;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,,,,,,"GBON:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
SPLIT/MARJAN,,	1926-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-14445|primary,Europe,,Croatia,43.5083333333,16.4263888889,122,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);RBCN;RBSN(S);SEA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: State of sea observations.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2020-07-15,Jörg Klausen
SPLIT/RESNIK,,,,Operational,Partly operational,Land (fixed),0-20000-0-14444|primary,Europe,,Croatia,43.5394444444,16.3011111111,19,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
VARAZDIN,,	1963-01-01,,Operational,Operational,Land (fixed),0-20000-0-14246|primary,Europe,,Croatia,46.2827777778,16.3638888889,167,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
ZADAR RS,,	2003-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-14430|primary,Europe,,Croatia,44.0969444444,15.3402777778,78,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: GUAN;WN (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational, GUAN:Operational",	2016-04-28,
ZADAR/PUNTAMIKA,,,,Operational,Operational,Land (fixed),0-20000-0-14428|primary,Europe,,Croatia,44.13,15.2058333333,5,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;SEATEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
ZADAR/ZEMUNIK,,,,Operational,Partly operational,Land (fixed),0-20000-0-14431|primary,Europe,,Croatia,44.0969444444,15.3627777778,82,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
ZAGREB/GRIC,,	1861-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-14236|primary,Europe,,Croatia,45.8144444444,15.9719444444,157,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);GSN;RBCN;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, Centennial Observing Stations:Operational, GBON:Operational, GCW affiliated station:Operational, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational",	2018-07-20,Nina Horat
ZAGREB/MAKSIMIR,,	1959-12-01,,Operational,Partly operational,Land (fixed),0-20000-0-14240|primary,Europe,,Croatia,45.8219444444,16.0336111111,123,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;RBSN(ST);SOILTEMP (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(ST) - deprecated:Closed",	2022-07-22,Ines SRZIC
ZAGREB/PLESO,,,,Operational,Partly operational,Land (fixed),0-20000-0-14241|primary,Europe,,Croatia,45.7291666667,16.0538888889,107,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
ZAVIZAN,,	1974-01-01,,Operational,Operational,Land (fixed),0-20000-0-14324|primary,Europe,,Croatia,44.8147222222,14.9752777778,1594,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;M;MONT;PH;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Observations of cloud below the level of the station; Phenological observations.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
