Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
CIMETTA,,	1981-12-21,,Operational,Operational,Land (fixed),0-20000-0-06759|primary,Europe,,Switzerland,46.200475,8.79165,1661,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=CIM,,,,,,,40|700,"GBON:Operational, GOS General:Operational",	2019-06-04,CHE NMHS 
COL DES MOSSES,,	1971-09-01,,Operational,Operational,Land (fixed),0-20000-0-06713|primary,Europe,,Switzerland,46.391522,7.098247,1412,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=CDM,,,,,,,5|450,GOS General:Operational,	2019-06-04,CHE NMHS 
COL DU GRAND ST-BERNARD,,	1818-01-01,,Operational,Operational,Land (fixed),0-20000-0-06717|primary,Europe,,Switzerland,45.869092,7.170697,2472,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=GSB,,,,,,,2|200,"Centennial Observing Stations:Operational, GBON:Operational, GOS General:Operational, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational",	2019-06-05,Lucia Cappelletti
COURTELARY,,	1912-01-01,,Operational,Operational,Land (fixed),0-20000-0-06710|primary,Europe,,Switzerland,47.180806,7.090653,695,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=COY,,,,,,,15|930,GOS General:Operational,	2019-06-04,CHE NMHS 
CRAP MASEGN,,	1992-02-17,,Operational,Operational,Land (fixed),0-20000-0-06688|primary,Europe,,Switzerland,46.842294,9.179989,2480,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=CMA,,,,,,,6|240,"GBON:Operational, GOS General:Operational",	2019-06-04,CHE NMHS 
CRESSIER,,	1991-10-15,,Operational,Operational,Land (fixed),0-20000-0-06606|primary,Europe,,Switzerland,47.047575,7.059147,430.3,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=CRM,,,,,,,28|870,"GBON:Operational, GOS General:Operational",	2019-06-04,CHE NMHS 
DAVOS,,	1866-12-01,,Operational,Operational,Land (fixed),0-20000-0-06784|primary,Europe,,Switzerland,46.812972,9.843547,1594.16,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=DAV,,,,,,,6|190,"Ceilometers, GBON:Operational, GOS General:Operational, Non-affiliated:Operational",	2023-02-28,CHE NMHS 
DAVOS / SEEHORNWALD,,	1991-07-01,,Operational,Unknown,Land (fixed),0-20000-0-06903|primary,Europe,,Switzerland,46.815283,9.855994,1637,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,http://www.meteoswiss.ch,,,,,,,6|190,GOS General:Operational,	2019-06-04,CHE NMHS 
DELEMONT,,	1892-07-14,,Operational,Operational,Land (fixed),0-20000-0-06602|primary,Europe,,Switzerland,47.351703,7.349561,439,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=DEM,,,,,,,32|1360,"Ceilometers, GBON:Operational, GOS General:Operational",	2023-02-28,CHE NMHS 
DISENTIS,,	1948-01-01,,Operational,Operational,Land (fixed),0-20000-0-06782|primary,Europe,,Switzerland,46.706572,8.853472,1197.05,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=DIS,,,,,,,2|130,"Ceilometers, GBON:Operational, GOS General:Operational",	2023-02-28,CHE NMHS 
DUEBENDORF,,	1880-01-01,,Operational,Unknown,Land (fixed),0-20000-0-06807|primary,Europe,,Switzerland,47.401611,8.633708,435,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,http://www.meteoswiss.ch,,,,,,,232|2000,GOS General:Operational,	2019-06-04,CHE NMHS 
DUEBENDORF / GIESSEN,,	1991-01-01,,Operational,Unknown,Land (fixed),0-20000-0-06904|primary,Europe,,Switzerland,47.402764,8.613594,432.2,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,http://www.meteoswiss.ch,,,,,,,321|2050,GOS General:Operational,	2019-06-04,CHE NMHS 
Davos ASRB (SLF),Davos_SLF_asrb,	1994-09-01,,Operational,Unknown,Land (fixed),0-756-1-799649|primary,Europe,,Switzerland,46.812766,9.848263,1563,From map,UTC+1,WSL Institute for Snow and Avalanche Research SLF,,,"The WSL Institute for Snow and Avalanche Research SLF (WSL/SLF) took over the responsibility for the continuation of those measurements. All ASRB instruments were mounted on the automatic station Stilli (SLF) (0-756-1-927792), which primarily delivers nivo-meteorological data to the Swiss Inter cantonal Measurement and Information System (IMIS) network (ID: SLF2).",Polar - Tundra,Mosaic grassland (50-70%) / forest or shrubland (20-50%) (Surface cover types (GlobCover2009)),"Closed (Regular large obstacle COVER (suburb, forest))",A valley bottom at middle relative elevation within mountains of high altitude,,Non-affiliated:Operational,	2020-11-08,Charles Fierz
Davos Stilli (SLF),,	1997-11-19,,Operational,Unknown,Land (fixed),0-756-1-927792|primary,Europe,,Switzerland,46.812766,9.848263,1563,From map,UTC+1,WSL Institute for Snow and Avalanche Research SLF,http://globalcryospherewatch.org/cryonet/sitepage.php?surveyid=77,https://www.slf.ch/en/avalanche-bulletin-and-snow-situation/measured-values.html#opened,"The Cryonet station Davos Stilli (SLF) is located close to the WSL/SLF offices, even though outside its premises. The station belongs to the Swiss Inter cantonal Measurement and Information System (IMIS) network (ID: SLF2) but is owned by WSL/SLF. _ GCW attributes: CryoNet reference research station in an Alpine valley. _ Additional cryosphere measurements: Snow surface temperature Snow temperatures at 25, 50, and 100 cm above ground _",Polar - Tundra,Mosaic grassland (50-70%) / forest or shrubland (20-50%) (Surface cover types (GlobCover2009)),"Closed (Regular large obstacle COVER (suburb, forest))",A valley bottom at middle relative elevation within rises of high altitude,,"GCW CryoNet station:Operational, Non-affiliated:Operational",	2020-11-09,Charles Fierz
